number,opened_at,sys_created_at,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,assigned_to,closed_code,resolved_by,resolved_at,closed_at,resolution_hours,closure_hours,resolution_days,closure_days,opened_date,opened_year,opened_month,opened_month_name,opened_day_name,sla_status,was_reopened,high_reassignment
INC0007632,2016-03-16 09:56:00,,Caller 3908,Opened by  17,Phone,Location 161,Category 26,Subcategory 175,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,3,0,9,False,Resolver 13,code 6,Resolved by 11,2016-03-24 11:01:00,2016-03-29 11:59:00,193.08333333333334,314.05,8.04513888888889,13.085416666666667,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007635,2016-03-16 09:59:00,,Caller 1100,Opened by  17,Phone,Location 51,Category 61,Subcategory 36,Symptom 458,,2 - Medium,2 - Medium,3 - Moderate,Group 73,False,False,Do Not Notify,,,,,Closed,False,2,0,15,False,Resolver 123,code 9,Resolved by 111,2016-04-18 14:48:00,2016-04-23 15:07:00,796.8166666666667,917.1333333333333,33.200694444444444,38.21388888888889,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007636,2016-03-16 10:02:00,2016-03-16 10:04:00,Caller 762,Opened by  17,Phone,Location 161,Category 9,Subcategory 202,Symptom 70,,2 - Medium,2 - Medium,3 - Moderate,Group 24,False,False,Do Not Notify,,,,,Closed,False,2,0,19,False,Resolver 249,code 5,Resolved by 227,2016-04-19 13:45:00,2016-04-24 14:07:00,819.7166666666667,940.0833333333334,34.15486111111111,39.17013888888889,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007637,2016-03-16 10:02:00,2016-03-16 10:03:00,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 64,False,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 94,code 6,Resolved by 85,2016-03-16 10:04:00,2016-03-24 19:01:00,0.03333333333333333,200.98333333333332,0.001388888888888889,8.374305555555555,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007638,2016-03-16 10:03:00,,Caller 1270,Opened by  17,Phone,Location 51,Category 23,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 20,False,False,Do Not Notify,,,,,Closed,False,5,0,13,False,Resolver 123,code 6,Resolved by 111,2016-03-29 11:38:00,2016-04-03 11:59:00,313.5833333333333,433.93333333333334,13.065972222222221,18.080555555555556,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007639,2016-03-16 10:04:00,2016-03-16 10:05:00,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 64,False,False,Do Not Notify,,,,,Closed,False,0,0,4,True,Resolver 94,code 6,Resolved by 85,2016-03-16 10:08:00,2016-03-24 19:01:00,0.06666666666666667,200.95,0.002777777777777778,8.372916666666667,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007641,2016-03-16 10:09:00,2016-03-16 10:26:00,Caller 93,Opened by  131,Phone,Location 161,Category 13,Subcategory 174,Symptom 491,,3 - Low,3 - Low,4 - Low,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,5,True,Resolver 17,code 7,Resolved by 15,2016-03-21 09:45:00,2016-03-26 09:59:00,119.6,239.83333333333334,4.983333333333333,9.993055555555555,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007642,2016-03-16 10:10:00,2016-03-16 10:11:00,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 64,False,False,Do Not Notify,,,,,Closed,False,0,0,4,True,Resolver 94,code 6,Resolved by 85,2016-03-16 10:13:00,2016-03-24 19:01:00,0.05,200.85,0.0020833333333333333,8.36875,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007643,2016-03-16 10:12:00,2016-03-16 10:15:00,Caller 5016,Opened by  397,Phone,Location 51,Category 37,Subcategory 135,Symptom 118,,2 - Medium,2 - Medium,3 - Moderate,Group 44,False,False,Do Not Notify,,,,,Closed,False,0,0,11,False,Resolver 82,code 9,Resolved by 75,2016-04-04 14:40:00,2016-04-09 14:59:00,460.46666666666664,580.7833333333333,19.18611111111111,24.199305555555554,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007644,2016-03-16 10:13:00,,Caller 4188,Opened by  17,Phone,Location 93,Category 42,Subcategory 223,Symptom 534,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,0,0,1,True,Resolver 33,code 6,Resolved by 11,,2016-03-24 19:01:00,,200.8,,8.366666666666667,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007645,2016-03-16 10:13:00,,Caller 61,Opened by  8,Phone,Location 204,Category 32,Subcategory 9,,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 6,code 6,Resolved by 5,2016-03-16 10:17:00,2016-03-24 19:01:00,0.06666666666666667,200.8,0.002777777777777778,8.366666666666667,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007646,2016-03-16 10:15:00,,Caller 394,Opened by  17,Phone,Location 93,Category 44,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 5,False,False,Do Not Notify,,,,,Closed,False,2,0,6,True,Resolver 127,code 8,Resolved by 11,2016-03-16 11:38:00,2016-03-24 19:01:00,1.3833333333333333,200.76666666666668,0.057638888888888885,8.365277777777779,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007647,2016-03-16 10:15:00,2016-03-16 10:39:00,Caller 1270,Opened by  17,Phone,Location 51,Category 23,Subcategory 3,Symptom 9,,2 - Medium,2 - Medium,3 - Moderate,Group 20,False,False,Do Not Notify,,,,,Closed,False,5,0,18,False,Resolver 233,code 6,Resolved by 212,2016-04-15 12:59:00,2016-04-20 13:07:00,722.7333333333333,842.8666666666667,30.11388888888889,35.11944444444445,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007648,2016-03-16 10:15:00,2016-03-16 10:16:00,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 64,False,False,Do Not Notify,,,,,Closed,False,0,0,28,True,Resolver 94,code 6,Resolved by 85,2016-03-16 11:01:00,2016-03-24 19:01:00,0.7666666666666667,200.76666666666668,0.03194444444444445,8.365277777777779,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007649,2016-03-16 10:15:00,2016-03-16 10:24:00,Caller 374,Opened by  40,Phone,Location 113,Category 32,Subcategory 300,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,11,False,Resolver 17,code 6,Resolved by 15,2016-03-21 12:07:00,2016-03-26 12:59:00,121.86666666666666,242.73333333333332,5.0777777777777775,10.113888888888889,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007650,2016-03-16 10:17:00,2016-03-16 10:23:00,Caller 3745,Opened by  8,Phone,Location 51,Category 26,Subcategory 175,Symptom 116,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,2,0,8,True,Resolver 201,code 6,Resolved by 183,2016-03-17 14:59:00,2016-03-24 19:01:00,28.7,200.73333333333332,1.1958333333333333,8.363888888888889,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007651,2016-03-16 10:17:00,2016-03-16 10:22:00,Caller 894,Opened by  397,Phone,Location 111,Category 9,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 25,False,False,Do Not Notify,,,,,Closed,False,0,0,5,False,Resolver 31,code 6,Resolved by 30,2016-03-22 13:25:00,2016-03-27 13:59:00,147.13333333333333,267.7,6.1305555555555555,11.154166666666667,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007652,2016-03-16 10:18:00,2016-03-16 10:37:00,Caller 644,Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,2,0,5,True,Resolver 183,code 6,Resolved by 166,2016-03-16 17:40:00,2016-03-24 19:01:00,7.366666666666666,200.71666666666667,0.3069444444444444,8.363194444444444,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007653,2016-03-16 10:21:00,,Caller 4255,Opened by  301,Phone,Location 111,Category 23,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 20,False,False,Do Not Notify,,,,,Closed,False,1,0,10,False,Resolver 123,code 6,Resolved by 111,2016-04-08 15:52:00,2016-04-13 15:59:00,557.5166666666667,677.6333333333333,23.22986111111111,28.23472222222222,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007656,2016-03-16 10:23:00,2016-03-16 10:25:00,Caller 1531,Opened by  24,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,,False,False,Do Not Notify,,,,,Closed,False,0,0,2,True,Resolver 17,code 6,Resolved by 15,2016-03-16 10:44:00,2016-03-24 19:01:00,0.35,200.63333333333333,0.014583333333333332,8.359722222222222,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007658,2016-03-16 10:24:00,2016-03-16 10:33:00,Caller 2847,Opened by  397,Phone,Location 38,Category 46,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 5,False,False,Do Not Notify,,,,,Closed,False,1,0,8,False,Resolver 155,code 8,Resolved by 139,2016-03-30 17:29:00,2016-04-04 17:59:00,343.0833333333333,463.5833333333333,14.295138888888888,19.31597222222222,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007659,2016-03-16 10:24:00,2016-03-16 10:58:00,Caller 4120,Opened by  17,Phone,Location 165,Category 37,Subcategory 135,Symptom 118,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,3,True,Resolver 24,code 10,Resolved by 22,2016-03-16 12:08:00,2016-03-24 19:01:00,1.7333333333333334,200.61666666666667,0.07222222222222223,8.359027777777778,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007660,2016-03-16 10:25:00,,Caller 3717,Opened by  8,Phone,Location 108,Category 61,Subcategory 36,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 73,False,False,Do Not Notify,,,,,Closed,False,1,0,7,False,Resolver 196,code 6,Resolved by 178,2016-03-23 15:55:00,2016-03-28 15:59:00,173.5,293.56666666666666,7.229166666666667,12.231944444444444,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007662,2016-03-16 10:26:00,2016-03-16 10:30:00,Caller 937,Opened by  131,Phone,Location 135,Category 46,Subcategory 223,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,,False,False,Do Not Notify,,,,,Closed,False,0,0,2,True,Resolver 17,code 6,Resolved by 15,2016-03-17 12:16:00,2016-03-24 19:01:00,25.833333333333332,200.58333333333334,1.0763888888888888,8.35763888888889,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007663,2016-03-16 10:29:00,2016-03-16 10:56:00,Caller 3986,Opened by  301,Phone,Location 179,Category 53,Subcategory 303,Symptom 88,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,4,True,Resolver 17,code 6,Resolved by 15,2016-03-18 14:40:00,2016-03-24 19:01:00,52.18333333333333,200.53333333333333,2.1743055555555553,8.355555555555556,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007664,2016-03-16 10:30:00,2016-03-16 10:32:00,Caller 4035,Opened by  397,Phone,Location 204,Category 53,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,6,True,Resolver 57,code 6,Resolved by 53,2016-03-17 15:35:00,2016-03-24 19:01:00,29.083333333333332,200.51666666666668,1.2118055555555556,8.354861111111111,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007666,2016-03-16 10:31:00,,Caller 4035,Opened by  40,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 127,code 8,Resolved by 11,2016-03-16 11:19:00,2016-03-24 19:01:00,0.8,200.5,0.03333333333333333,8.354166666666666,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007667,2016-03-16 10:34:00,2016-03-16 10:40:00,Caller 3817,Opened by  397,Phone,Location 161,Category 37,Subcategory 135,Symptom 118,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,2,0,6,True,Resolver 253,code 6,Resolved by 231,2016-03-16 14:41:00,2016-03-24 19:01:00,4.116666666666666,200.45,0.17152777777777775,8.352083333333333,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007668,2016-03-16 10:38:00,2016-03-16 10:46:00,Caller 2334,Opened by  40,Phone,Location 204,Category 26,Subcategory 275,Symptom 54,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,6,True,Resolver 17,code 7,Resolved by 15,2016-03-17 14:03:00,2016-03-24 19:01:00,27.416666666666668,200.38333333333333,1.1423611111111112,8.349305555555555,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007670,2016-03-16 10:39:00,2016-03-16 10:44:00,Caller 1270,Opened by  17,Phone,Location 51,Category 46,Subcategory 208,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 55,False,False,Do Not Notify,,,,,Closed,False,4,0,8,True,Resolver 194,code 6,Resolved by 177,2016-03-17 11:21:00,2016-03-24 19:01:00,24.7,200.36666666666667,1.0291666666666666,8.348611111111111,2016-03-16,2016,3,March,Wednesday,Met SLA,False,True
INC0007671,2016-03-16 10:39:00,2016-03-16 11:05:00,Caller 2561,Opened by  17,Phone,Location 55,Category 20,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,4,0,10,False,Resolver 17,code 7,Resolved by 15,2016-03-24 10:54:00,2016-03-29 10:59:00,192.25,312.3333333333333,8.010416666666666,13.013888888888888,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007672,2016-03-16 10:41:00,2016-03-16 10:44:00,Caller 4893,Opened by  397,Phone,Location 204,Category 53,Subcategory 303,Symptom 86,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,3,0,8,True,Resolver 57,code 6,Resolved by 53,2016-03-18 15:57:00,2016-03-24 19:01:00,53.266666666666666,200.33333333333334,2.2194444444444446,8.347222222222223,2016-03-16,2016,3,March,Wednesday,Met SLA,False,True
INC0007673,2016-03-16 10:41:00,2016-03-16 10:51:00,Caller 4897,Opened by  397,Phone,Location 204,Category 32,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 31,False,False,Do Not Notify,,,,,Closed,False,0,0,5,False,Resolver 182,code 6,Resolved by 165,2016-03-21 16:18:00,2016-03-26 16:59:00,125.61666666666666,246.3,5.2340277777777775,10.262500000000001,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007675,2016-03-16 10:44:00,2016-03-16 11:02:00,Caller 1021,Opened by  17,Phone,Location 51,Category 32,Subcategory 9,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,7,False,Resolver 17,code 7,Resolved by 15,2016-03-22 13:28:00,2016-03-27 13:59:00,146.73333333333332,267.25,6.113888888888888,11.135416666666666,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007676,2016-03-16 10:48:00,2016-03-16 10:51:00,Caller 2256,Opened by  8,Phone,Location 179,Category 37,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 25,False,False,Do Not Notify,,,,,Closed,False,3,0,12,False,Resolver 57,code 6,Resolved by 53,2016-03-29 13:40:00,2016-04-03 13:59:00,314.8666666666667,435.18333333333334,13.119444444444445,18.132638888888888,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007677,2016-03-16 10:48:00,2016-03-16 10:50:00,Caller 783,Opened by  131,Phone,Location 111,Category 20,Subcategory 103,Symptom 387,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,7,False,Resolver 17,code 7,Resolved by 15,2016-03-22 16:30:00,2016-03-27 16:59:00,149.7,270.18333333333334,6.2375,11.25763888888889,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007679,2016-03-16 10:51:00,,Caller 3239,Opened by  397,Phone,Location 204,Category 19,Subcategory 163,Symptom 454,,2 - Medium,2 - Medium,3 - Moderate,Group 59,False,False,Do Not Notify,,,,,Closed,False,1,0,13,False,Resolver 123,code 9,Resolved by 111,2016-04-18 14:38:00,2016-04-23 15:07:00,795.7833333333333,916.2666666666667,33.15763888888889,38.17777777777778,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007680,2016-03-16 10:52:00,,Caller 2256,Opened by  8,Phone,Location 179,Category 42,Subcategory 174,,,2 - Medium,2 - Medium,3 - Moderate,Group 55,False,False,Do Not Notify,,,,,Closed,False,1,0,10,True,Resolver 2,code 7,Resolved by 2,2016-03-17 09:26:00,2016-03-24 19:01:00,22.566666666666666,200.15,0.9402777777777778,8.339583333333334,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007681,2016-03-16 10:52:00,2016-03-16 10:56:00,Caller 501,Opened by  17,Phone,Location 47,Category 46,Subcategory 250,Symptom 498,,2 - Medium,2 - Medium,3 - Moderate,Group 57,False,False,Do Not Notify,,,,,Closed,False,0,0,2,True,Resolver 155,code 8,Resolved by 139,2016-03-16 13:56:00,2016-03-24 19:01:00,3.066666666666667,200.15,0.1277777777777778,8.339583333333334,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007683,2016-03-16 10:54:00,2016-03-16 11:01:00,Caller 4842,Opened by  397,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,11,0,28,False,Resolver 111,code 6,Resolved by 100,2016-03-24 11:37:00,2016-03-29 11:59:00,192.71666666666667,313.0833333333333,8.029861111111112,13.045138888888888,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007685,2016-03-16 10:56:00,2016-03-16 10:57:00,Caller 3239,Opened by  397,Phone,Location 204,Category 37,Subcategory 135,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 46,False,False,Do Not Notify,,,,,Closed,False,2,0,9,False,Resolver 83,code 6,Resolved by 76,2016-03-29 16:46:00,2016-04-03 16:59:00,317.8333333333333,438.05,13.243055555555555,18.252083333333335,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007687,2016-03-16 10:57:00,,Caller 2677,Opened by  255,Email,Location 197,Category 41,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Send Email,,,,,Closed,False,1,0,5,False,Resolver 119,code 15,Resolved by 181,2016-03-22 12:55:00,2016-03-27 12:59:00,145.96666666666667,266.03333333333336,6.081944444444445,11.084722222222224,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007688,2016-03-16 10:57:00,,Caller 2677,Opened by  255,Email,Location 197,Category 41,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Send Email,,,,,Closed,False,1,0,5,False,Resolver 119,code 15,Resolved by 181,2016-03-22 12:56:00,2016-03-27 12:59:00,145.98333333333332,266.03333333333336,6.082638888888888,11.084722222222224,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007690,2016-03-16 10:57:00,2016-03-16 11:03:00,Caller 4558,Opened by  131,Phone,Location 93,Category 46,Subcategory 223,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 39,False,False,Do Not Notify,,,,,Closed,False,0,0,2,True,Resolver 194,code 6,Resolved by 177,2016-03-17 10:50:00,2016-03-24 19:01:00,23.883333333333333,200.06666666666666,0.9951388888888889,8.33611111111111,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007692,2016-03-16 10:58:00,2016-03-16 11:01:00,Caller 3743,Opened by  317,Phone,Location 82,Category 46,Subcategory 231,Symptom 211,,2 - Medium,2 - Medium,3 - Moderate,Group 37,False,False,Do Not Notify,,,,,Closed,False,0,0,9,False,Resolver 153,code 7,Resolved by 137,2016-03-31 16:42:00,2016-04-05 16:59:00,365.73333333333335,486.01666666666665,15.238888888888889,20.250694444444445,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007693,2016-03-16 10:59:00,,Caller 931,Opened by  301,Phone,Location 143,Category 32,Subcategory 9,Symptom 105,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,0,0,1,True,Resolver 149,code 9,Resolved by 133,,2016-03-24 19:01:00,,200.03333333333333,,8.334722222222222,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007694,2016-03-16 11:00:00,2016-03-16 11:18:00,Caller 1112,Opened by  40,Phone,Location 161,Category 20,Subcategory 103,Symptom 387,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,3,0,8,False,Resolver 17,code 7,Resolved by 15,2016-03-22 15:47:00,2016-03-27 15:59:00,148.78333333333333,268.98333333333335,6.199305555555555,11.207638888888889,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007695,2016-03-16 11:01:00,2016-03-16 11:04:00,Caller 1824,Opened by  8,Phone,Location 51,Category 44,Subcategory 59,Symptom 252,,2 - Medium,2 - Medium,3 - Moderate,Group 5,False,False,Do Not Notify,,,,,Closed,False,3,0,11,False,Resolver 247,code 6,Resolved by 226,2016-03-22 15:12:00,2016-03-27 15:59:00,148.18333333333334,268.96666666666664,6.174305555555556,11.206944444444444,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007696,2016-03-16 11:01:00,,Caller 1847,Opened by  397,Phone,Location 161,Category 19,Subcategory 163,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 20,False,False,Do Not Notify,,,,,Closed,False,3,0,10,False,Resolver 149,code 1,Resolved by 133,2016-03-29 13:15:00,2016-04-03 13:59:00,314.23333333333335,434.96666666666664,13.093055555555557,18.12361111111111,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007698,2016-03-16 11:02:00,,Caller 4188,Opened by  17,Phone,Location 93,Category 46,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,0,0,1,True,Resolver 127,code 8,Resolved by 11,,2016-03-24 19:01:00,,199.98333333333332,,8.332638888888889,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007699,2016-03-16 11:03:00,2016-03-16 11:03:00,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 64,False,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 94,code 6,Resolved by 85,2016-03-16 11:05:00,2016-03-24 19:01:00,0.03333333333333333,199.96666666666667,0.001388888888888889,8.331944444444444,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007700,2016-03-16 11:04:00,2016-03-16 11:06:00,Caller 2440,Opened by  317,Phone,Location 46,Category 46,Subcategory 231,Symptom 211,,2 - Medium,2 - Medium,3 - Moderate,Group 37,False,False,Do Not Notify,,,,,Closed,False,0,0,14,False,Resolver 153,code 4,Resolved by 137,2016-04-19 17:39:00,2016-04-24 18:07:00,822.5833333333334,943.05,34.27430555555556,39.293749999999996,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,False
INC0007701,2016-03-16 11:05:00,2016-03-16 11:11:00,Caller 1575,Opened by  131,Phone,Location 161,Category 53,Subcategory 174,Symptom 491,,3 - Low,3 - Low,4 - Low,Group 24,False,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 24,code 9,Resolved by 22,2016-03-16 13:40:00,2016-03-24 19:01:00,2.5833333333333335,199.93333333333334,0.1076388888888889,8.330555555555556,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007703,2016-03-16 11:08:00,2016-03-16 11:14:00,Caller 4404,Opened by  17,Phone,Location 161,Category 42,Subcategory 183,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 54,False,False,Do Not Notify,,,,,Closed,False,2,0,8,True,Resolver 24,code 9,Resolved by 22,2016-03-16 14:44:00,2016-03-24 19:01:00,3.6,199.88333333333333,0.15,8.328472222222222,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007705,2016-03-16 11:09:00,2016-03-16 11:13:00,Caller 885,Opened by  79,Phone,Location 51,Category 42,Subcategory 29,,,2 - Medium,2 - Medium,3 - Moderate,Group 55,False,False,Do Not Notify,,,,,Closed,False,0,0,5,True,Resolver 214,code 9,Resolved by 195,2016-03-16 13:31:00,2016-03-24 19:01:00,2.3666666666666667,199.86666666666667,0.09861111111111111,8.327777777777778,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007706,2016-03-16 11:10:00,,Caller 3003,Opened by  24,Phone,Location 96,Category 35,Subcategory 28,Symptom 506,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,0,0,1,True,Resolver 17,code 7,Resolved by 15,,2016-03-24 19:01:00,,199.85,,8.327083333333333,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
INC0007707,2016-03-16 11:12:00,,Caller 3544,Opened by  397,Phone,Location 173,Category 53,Subcategory 174,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,3,0,6,True,Resolver 26,code 6,Resolved by 24,2016-03-19 21:21:00,2016-03-24 21:59:00,82.15,202.78333333333333,3.422916666666667,8.449305555555556,2016-03-16,2016,3,March,Wednesday,Met SLA,False,True
INC0007708,2016-03-16 11:13:00,2016-03-16 11:39:00,Caller 4649,Opened by  397,Phone,Location 161,Category 24,Subcategory 164,Symptom 491,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,7,0,66,False,Resolver 89,code 6,Resolved by 81,2016-08-18 13:52:00,2016-08-23 14:00:00,3722.65,3842.7833333333333,155.11041666666668,160.1159722222222,2016-03-16,2016,3,March,Wednesday,Breached SLA,False,True
INC0007709,2016-03-16 11:13:00,2016-03-16 11:37:00,Caller 805,Opened by  17,Phone,Location 21,Category 13,Subcategory 302,Symptom 8,,2 - Medium,2 - Medium,3 - Moderate,Group 70,False,False,Do Not Notify,,,,,Closed,False,1,0,4,True,Resolver 17,code 7,Resolved by 15,2016-03-19 09:41:00,2016-03-24 19:01:00,70.46666666666667,199.8,2.9361111111111113,8.325000000000001,2016-03-16,2016,3,March,Wednesday,Met SLA,False,False
