number,incident_state,active,contact_type,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,location,caller_id,reassignment_count,reopen_count,sys_mod_count,made_sla,sla_status,resolved_by,resolved_at,closed_code,closed_at,opened_at,resolution_hours,resolution_days,closure_hours,closure_days,was_reopened,high_reassignment,opened_date,opened_year,opened_month,opened_month_name,opened_day_name,priority_level,priority_label,impact_level,urgency_level,opened_month_year,sla_breached,reopened_flag,high_reassignment_flag,resolution_bucket
INC0006456,Closed,False,Phone,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,Location 241,Caller 4122,0,0,1,False,Breached SLA,Resolved by 11,,code 7,2016-03-24 18:52:00,2016-03-14 09:04:00,,,249.8,10.408333333333331,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006457,Closed,False,Phone,Category 40,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,Location 93,Caller 4188,1,0,7,False,Breached SLA,Resolved by 32,2016-03-14 16:39:00,code 1,2016-03-24 18:52:00,2016-03-14 09:04:00,7.583333333333333,0.3159722222222222,249.8,10.408333333333331,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006458,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,Location 51,Caller 4934,0,0,1,False,Breached SLA,Resolved by 11,,code 6,2016-03-24 18:52:00,2016-03-14 09:05:00,,,249.78333333333333,10.407638888888888,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006459,Closed,False,Phone,Category 46,Subcategory 94,Symptom 294,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,Location 143,Caller 3098,2,0,7,False,Breached SLA,Resolved by 143,2016-03-16 14:00:00,code 1,2016-03-24 19:00:00,2016-03-14 09:06:00,52.9,2.2041666666666666,249.9,10.4125,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006460,Closed,False,Phone,Category 44,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 13,Location 51,Caller 3027,1,0,2,False,Breached SLA,Resolved by 11,,code 8,2016-03-24 19:00:00,2016-03-14 09:06:00,,,249.9,10.4125,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006461,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 23,Location 204,Caller 1948,0,0,6,False,Breached SLA,Resolved by 11,2016-03-14 11:54:00,code 8,2016-03-24 18:52:00,2016-03-14 09:07:00,2.783333333333333,0.1159722222222222,249.75,10.40625,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006463,Closed,False,Phone,Category 53,Subcategory 303,Symptom 88,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 24,Location 161,Caller 1346,1,0,15,False,Breached SLA,Resolved by 22,2016-03-21 09:12:00,code 4,2016-03-26 09:59:00,2016-03-14 09:11:00,168.01666666666668,7.000694444444445,288.8,12.033333333333331,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006464,Closed,False,Phone,Category 51,Subcategory 25,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 54,Resolver 229,Location 143,Caller 2922,3,0,14,False,Breached SLA,Resolved by 208,2016-03-24 12:29:00,code 6,2016-03-29 12:59:00,2016-03-14 09:11:00,243.3,10.1375,363.8,15.158333333333331,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,7-30 Days
INC0006465,Closed,False,Phone,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,Location 125,Caller 1904,0,0,7,False,Breached SLA,Resolved by 85,2016-03-15 08:03:00,code 6,2016-03-24 19:00:00,2016-03-14 09:13:00,22.83333333333333,0.9513888888888888,249.78333333333333,10.407638888888888,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006466,Closed,False,Phone,Category 32,Subcategory 9,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,Location 204,Caller 1221,1,0,9,False,Breached SLA,Resolved by 11,2016-03-23 14:49:00,code 6,2016-03-28 14:59:00,2016-03-14 09:14:00,221.58333333333331,9.23263888888889,341.75,14.239583333333334,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006467,Closed,False,Phone,Category 53,Subcategory 303,Symptom 421,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 128,Caller 1984,1,0,4,False,Breached SLA,Resolved by 15,2016-03-14 14:49:00,code 7,2016-03-24 18:52:00,2016-03-14 09:14:00,5.583333333333333,0.2326388888888888,249.63333333333333,10.401388888888889,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006468,Closed,False,Phone,Category 46,Subcategory 174,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 38,Caller 2847,0,0,1,False,Breached SLA,Resolved by 11,,code 7,2016-03-24 18:52:00,2016-03-14 09:15:00,,,249.61666666666667,10.400694444444444,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006469,Closed,False,Phone,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 143,Caller 1250,1,0,4,False,Breached SLA,Resolved by 15,2016-03-15 13:28:00,code 7,2016-03-24 19:00:00,2016-03-14 09:16:00,28.2,1.175,249.7333333333333,10.405555555555557,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006470,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,Location 51,Caller 3936,0,0,2,False,Breached SLA,Resolved by 5,2016-03-14 11:14:00,code 6,2016-03-24 18:52:00,2016-03-14 09:16:00,1.9666666666666663,0.0819444444444444,249.6,10.4,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006471,Closed,False,Phone,Category 37,Subcategory 174,Symptom 494,2 - Medium,2 - Medium,3 - Moderate,Group 76,Resolver 140,Location 204,Caller 5497,3,0,8,False,Breached SLA,Resolved by 126,2016-03-23 09:44:00,code 6,2016-03-28 09:59:00,2016-03-14 09:17:00,216.45,9.01875,336.7,14.029166666666669,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,7-30 Days
INC0006472,Closed,False,Phone,Category 53,Subcategory 174,Unknown,2 - Medium,2 - Medium,3 - Moderate,Unknown,Resolver 33,Location 82,Caller 5146,0,0,3,False,Breached SLA,Resolved by 32,2016-03-14 09:46:00,code 7,2016-03-24 18:52:00,2016-03-14 09:18:00,0.4666666666666667,0.0194444444444444,249.56666666666663,10.39861111111111,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006473,Closed,False,Phone,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 46,Resolver 227,Location 204,Caller 1452,1,0,7,False,Breached SLA,Resolved by 206,2016-03-15 10:16:00,code 9,2016-03-24 19:00:00,2016-03-14 09:18:00,24.966666666666665,1.0402777777777776,249.7,10.404166666666669,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006474,Closed,False,Phone,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,Location 143,Caller 5210,1,0,4,False,Breached SLA,Resolved by 215,2016-03-14 13:43:00,code 9,2016-03-24 18:52:00,2016-03-14 09:18:00,4.416666666666667,0.1840277777777778,249.56666666666663,10.39861111111111,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006476,Closed,False,Phone,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 233,Location 204,Caller 61,7,0,16,False,Breached SLA,Resolved by 212,2016-03-22 09:01:00,code 6,2016-03-27 09:59:00,2016-03-14 09:19:00,191.7,7.9875,312.6666666666667,13.02777777777778,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,7-30 Days
INC0006480,Closed,False,Phone,Category 53,Subcategory 80,Symptom 205,2 - Medium,2 - Medium,3 - Moderate,Group 78,Resolver 167,Location 204,Caller 3889,5,0,9,False,Breached SLA,Resolved by 150,2016-03-14 11:51:00,code 6,2016-03-24 18:52:00,2016-03-14 09:20:00,2.5166666666666666,0.1048611111111111,249.53333333333333,10.397222222222222,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,0-4 Hours
INC0006479,Closed,False,Phone,Category 37,Subcategory 144,Unknown,3 - Low,3 - Low,4 - Low,Group 25,Resolver 201,Location 93,Caller 1854,1,0,5,True,Met SLA,Resolved by 183,2016-03-17 14:58:00,code 6,2016-03-24 19:00:00,2016-03-14 09:20:00,77.63333333333334,3.2347222222222225,249.66666666666663,10.402777777777777,False,False,2016-03-14,2016,3,March,Monday,4,Low,3,3,2016-03,0,0,0,3-7 Days
INC0006478,Closed,False,Phone,Category 26,Subcategory 275,Symptom 115,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 204,Caller 5555,9,0,29,False,Breached SLA,Resolved by 15,2016-05-04 10:35:00,code 6,2016-05-09 11:07:00,2016-03-14 09:20:00,1225.25,51.052083333333336,1345.7833333333333,56.074305555555554,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,30+ Days
INC0006481,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,Location 51,Caller 2415,1,0,5,False,Breached SLA,Resolved by 32,2016-03-14 16:36:00,code 7,2016-03-24 18:52:00,2016-03-14 09:25:00,7.183333333333334,0.2993055555555555,249.45,10.39375,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006482,Closed,False,Phone,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,Location 143,Caller 330,0,0,1,False,Breached SLA,Resolved by 11,,code 7,2016-03-24 18:52:00,2016-03-14 09:25:00,,,249.45,10.39375,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006483,Closed,False,Phone,Category 32,Subcategory 300,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 150,Location 108,Caller 4316,4,0,9,False,Breached SLA,Resolved by 134,2016-03-16 19:17:00,code 7,2016-03-24 19:00:00,2016-03-14 09:26:00,57.85,2.410416666666667,249.56666666666663,10.39861111111111,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,1-3 Days
INC0006484,Closed,False,Phone,Category 42,Subcategory 174,Symptom 494,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 71,Location 51,Caller 5015,4,0,73,False,Breached SLA,Resolved by 64,2016-10-05 10:37:00,code 6,2016-10-10 11:00:00,2016-03-14 09:26:00,4921.183333333333,205.04930555555555,5041.566666666667,210.06527777777777,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,30+ Days
INC0006485,Closed,False,Phone,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 201,Location 51,Caller 1308,2,0,11,False,Breached SLA,Resolved by 183,2016-03-18 14:34:00,code 6,2016-03-24 19:00:00,2016-03-14 09:28:00,101.1,4.2125,249.53333333333333,10.397222222222222,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,3-7 Days
INC0006486,Closed,False,Phone,Category 42,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 22,Location 161,Caller 3486,2,0,7,False,Breached SLA,Resolved by 20,2016-03-15 17:15:00,code 6,2016-03-24 19:00:00,2016-03-14 09:29:00,31.766666666666666,1.323611111111111,249.51666666666668,10.39652777777778,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006487,Closed,False,Phone,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 108,Caller 4316,3,0,11,False,Breached SLA,Resolved by 15,2016-03-16 15:58:00,code 6,2016-03-24 19:00:00,2016-03-14 09:30:00,54.46666666666667,2.2694444444444444,249.5,10.395833333333334,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,1-3 Days
INC0006488,Closed,False,Phone,Category 42,Subcategory 29,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 100,Location 204,Caller 2315,1,0,4,False,Breached SLA,Resolved by 90,2016-03-14 14:05:00,code 6,2016-03-24 18:52:00,2016-03-14 09:30:00,4.583333333333333,0.1909722222222222,249.36666666666667,10.390277777777778,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006489,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,Location 161,Caller 1944,0,0,1,False,Breached SLA,Resolved by 11,,code 6,2016-03-24 18:52:00,2016-03-14 09:31:00,,,249.35,10.389583333333333,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006490,Closed,False,Phone,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 54,Resolver 82,Location 38,Caller 5073,3,0,7,False,Breached SLA,Resolved by 106,2016-03-15 15:46:00,code 6,2016-03-24 19:00:00,2016-03-14 09:31:00,30.25,1.2604166666666667,249.4833333333333,10.395138888888887,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,1-3 Days
INC0006491,Closed,False,Phone,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 44,Location 108,Caller 4475,0,0,5,False,Breached SLA,Resolved by 41,2016-03-14 15:07:00,code 6,2016-03-24 18:52:00,2016-03-14 09:32:00,5.583333333333333,0.2326388888888888,249.33333333333331,10.38888888888889,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006492,Closed,False,Phone,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 143,Caller 3921,1,0,6,False,Breached SLA,Resolved by 15,2016-03-15 11:57:00,code 7,2016-03-24 19:00:00,2016-03-14 09:33:00,26.4,1.1,249.45,10.39375,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006493,Closed,False,Phone,Category 42,Subcategory 29,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,Location 204,Caller 3889,0,0,3,False,Breached SLA,Resolved by 195,2016-03-14 11:36:00,code 9,2016-03-24 18:52:00,2016-03-14 09:34:00,2.033333333333333,0.0847222222222222,249.3,10.3875,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006494,Closed,False,Phone,Category 61,Subcategory 164,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,Location 204,Caller 4016,1,0,6,False,Breached SLA,Resolved by 180,2016-03-23 11:00:00,code 6,2016-03-28 11:59:00,2016-03-14 09:36:00,217.4,9.058333333333334,338.3833333333333,14.099305555555556,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006495,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 143,Caller 2498,1,0,4,False,Breached SLA,Resolved by 15,2016-03-14 13:14:00,code 7,2016-03-24 18:52:00,2016-03-14 09:37:00,3.6166666666666663,0.1506944444444444,249.25,10.385416666666666,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006496,Closed,False,Phone,Category 46,Subcategory 223,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 229,Caller 4774,0,0,1,False,Breached SLA,Resolved by 11,,code 7,2016-03-24 18:52:00,2016-03-14 09:37:00,,,249.25,10.385416666666666,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006497,Closed,False,Phone,Category 24,Subcategory 202,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,Location 199,Caller 1435,0,0,4,False,Breached SLA,Resolved by 183,2016-03-15 11:59:00,code 6,2016-03-24 19:00:00,2016-03-14 09:39:00,26.33333333333333,1.097222222222222,249.35,10.389583333333333,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006499,Closed,False,Phone,Category 9,Subcategory 164,Symptom 117,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,Location 161,Caller 5121,0,0,5,False,Breached SLA,Resolved by 227,2016-03-14 14:25:00,code 6,2016-03-24 18:52:00,2016-03-14 09:40:00,4.75,0.1979166666666666,249.2,10.383333333333333,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006501,Closed,False,Phone,Category 44,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 13,Location 51,Caller 3936,1,0,2,False,Breached SLA,Resolved by 11,,code 8,2016-03-24 19:00:00,2016-03-14 09:44:00,,,249.26666666666668,10.386111111111113,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006502,Closed,False,Phone,Category 9,Subcategory 164,Symptom 381,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,Location 161,Caller 5624,0,0,3,False,Breached SLA,Resolved by 227,2016-03-14 11:03:00,code 5,2016-03-24 18:52:00,2016-03-14 09:45:00,1.3,0.0541666666666666,249.11666666666667,10.379861111111111,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006503,Closed,False,Phone,Category 46,Subcategory 231,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 37,Resolver 153,Location 199,Caller 3377,0,0,10,False,Breached SLA,Resolved by 137,2016-04-06 10:44:00,code 8,2016-04-11 10:59:00,2016-03-14 09:48:00,552.9333333333333,23.038888888888888,673.1833333333333,28.049305555555552,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006504,Closed,False,Phone,Category 61,Subcategory 164,Symptom 114,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,Location 182,Caller 5072,1,0,7,False,Breached SLA,Resolved by 180,2016-03-23 10:05:00,code 6,2016-03-28 10:59:00,2016-03-14 09:48:00,216.28333333333333,9.011805555555556,337.18333333333334,14.049305555555556,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006506,Closed,False,Phone,Category 23,Subcategory 3,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 151,Location 108,Caller 4502,2,0,8,True,Met SLA,Resolved by 135,2016-03-15 09:54:00,code 6,2016-03-20 10:01:00,2016-03-14 09:49:00,24.08333333333333,1.003472222222222,144.2,6.008333333333333,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,0,0,0,1-3 Days
INC0006508,Closed,False,Phone,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 94,Location 51,Caller 2314,1,0,6,False,Breached SLA,Resolved by 85,2016-03-14 10:18:00,code 6,2016-03-24 18:52:00,2016-03-14 09:51:00,0.45,0.01875,249.01666666666668,10.375694444444443,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006509,Closed,False,Phone,Category 61,Subcategory 36,Symptom 458,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,Location 46,Caller 4536,1,0,7,False,Breached SLA,Resolved by 180,2016-03-23 10:01:00,code 6,2016-03-28 10:59:00,2016-03-14 09:53:00,216.13333333333333,9.005555555555555,337.1,14.045833333333334,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006510,Closed,False,Phone,Category 24,Subcategory 164,Symptom 117,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,Location 91,Caller 678,0,0,14,False,Breached SLA,Resolved by 227,2016-03-31 10:39:00,code 6,2016-04-05 10:59:00,2016-03-14 09:54:00,408.75,17.03125,529.0833333333334,22.04513888888889,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006511,Closed,False,Phone,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,Location 125,Caller 1904,0,0,3,False,Breached SLA,Resolved by 85,2016-03-14 09:57:00,code 6,2016-03-24 18:52:00,2016-03-14 09:54:00,0.05,0.0020833333333333,248.96666666666667,10.373611111111112,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006513,Closed,False,Phone,Category 53,Subcategory 174,Symptom 494,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,Location 204,Caller 558,0,0,9,False,Breached SLA,Resolved by 53,2016-03-21 16:27:00,code 6,2016-03-26 16:59:00,2016-03-14 09:55:00,174.53333333333333,7.272222222222222,295.06666666666666,12.294444444444444,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006514,Closed,False,Phone,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,Location 125,Caller 1904,0,0,2,False,Breached SLA,Resolved by 85,2016-03-15 08:04:00,code 6,2016-03-24 19:00:00,2016-03-14 09:58:00,22.1,0.9208333333333334,249.03333333333333,10.376388888888888,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006515,Closed,False,Phone,Category 46,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,Location 143,Caller 1275,0,0,1,False,Breached SLA,Resolved by 11,,code 8,2016-03-24 18:52:00,2016-03-14 10:00:00,,,248.86666666666667,10.369444444444444,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006516,Closed,False,Phone,Category 37,Subcategory 123,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 44,Location 108,Caller 3640,1,0,7,False,Breached SLA,Resolved by 41,2016-03-15 14:43:00,code 6,2016-03-24 19:00:00,2016-03-14 10:00:00,28.716666666666665,1.1965277777777776,249.0,10.375,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,1-3 Days
INC0006517,Closed,False,Phone,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 242,Location 124,Caller 5369,2,0,15,False,Breached SLA,Resolved by 221,2016-03-30 10:57:00,code 6,2016-04-04 10:59:00,2016-03-14 10:01:00,384.9333333333333,16.038888888888888,504.9666666666666,21.040277777777774,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006518,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 161,Caller 2512,0,0,1,False,Breached SLA,Resolved by 11,,code 6,2016-03-24 18:52:00,2016-03-14 10:02:00,,,248.83333333333331,10.368055555555555,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,Not Resolved
INC0006519,Closed,False,Phone,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 24,Location 161,Caller 5546,3,0,10,False,Breached SLA,Resolved by 22,2016-03-16 13:23:00,code 9,2016-03-24 19:00:00,2016-03-14 10:02:00,51.35,2.1395833333333334,248.96666666666667,10.373611111111112,False,True,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,1,1-3 Days
INC0006520,Closed,False,Phone,Category 53,Subcategory 13,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 69,Resolver 227,Location 204,Caller 4894,1,0,8,False,Breached SLA,Resolved by 206,2016-03-14 18:14:00,code 6,2016-03-24 18:52:00,2016-03-14 10:02:00,8.2,0.3416666666666666,248.83333333333331,10.368055555555555,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,4-24 Hours
INC0006521,Closed,False,Phone,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,Location 204,Caller 5248,0,0,4,False,Breached SLA,Resolved by 11,2016-03-14 10:13:00,code 7,2016-03-24 18:52:00,2016-03-14 10:03:00,0.1666666666666666,0.0069444444444444,248.81666666666663,10.36736111111111,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
INC0006522,Closed,False,Phone,Category 57,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,Location 204,Caller 4021,0,0,5,False,Breached SLA,Resolved by 53,2016-03-18 09:36:00,code 6,2016-03-24 19:00:00,2016-03-14 10:04:00,95.53333333333332,3.980555555555556,248.9333333333333,10.372222222222222,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,3-7 Days
INC0006525,Closed,False,Phone,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,Location 204,Caller 4894,2,0,10,False,Breached SLA,Resolved by 133,2016-03-23 15:46:00,code 1,2016-03-28 15:59:00,2016-03-14 10:08:00,221.63333333333333,9.234722222222222,341.85,14.24375,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,7-30 Days
INC0006526,Closed,False,Phone,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,Location 143,Caller 4760,1,0,5,False,Breached SLA,Resolved by 15,2016-03-14 13:26:00,code 7,2016-03-24 18:52:00,2016-03-14 10:08:00,3.3,0.1374999999999999,248.7333333333333,10.363888888888887,False,False,2016-03-14,2016,3,March,Monday,3,Moderate,2,2,2016-03,1,0,0,0-4 Hours
